date	source_id	action	file_or_endpoint	version_or_release	checksum_or_hash	notes
2026-05-28	deep_research_report	reviewed	C:/Users/Vicenzo/Downloads/deep-research-report (8).md	local file from user	TBD	Used to update Fase 0B landscape, claim discipline, and secondary benchmark controls.
2026-05-28	scholar_equivalent_search	reviewed	Google Scholar query variants via broad web/academic search	2026-05-28	N/A	Direct Google Scholar access unavailable; search recovered known close literature and no pivot-triggering equivalent.
2026-05-28	gdc_tcga_stad	metadata_query	https://api.gdc.cancer.gov/cases and https://api.gdc.cancer.gov/files	GDC API live	N/A	Queried TCGA-STAD cases, clinical fields, and RNA-seq STAR count sample types.
2026-05-28	xena_toil_tcga_gtex	metadata_query	https://toil.xenahubs.net/download/TcgaTargetGTEX_phenotype.txt.gz	Toil recompute; Last-Modified Fri, 09 Apr 2021 20:01:15 GMT	N/A	Counted TCGA-STAD and GTEx stomach phenotype sample types without downloading the large matrix.
2026-05-28	cbioportal_stad_tcga	metadata_query	https://www.cbioportal.org/api/studies/stad_tcga*/clinical-data	stad_tcga; stad_tcga_pan_can_atlas_2018	N/A	Queried TCGA molecular subtype and legacy clinical field availability.
2026-05-28	hpa_downloads	metadata_query	https://www.proteinatlas.org/about/download	HPA 25.1; Ensembl 109	N/A	Counted gene coverage from HPA downloadable TSV zips in memory; no raw files saved.
2026-05-28	uniprot_reviewed_human	metadata_query	https://rest.uniprot.org/uniprotkb/search	UniProt 2026_01	N/A	Queried reviewed human and topology-related entry counts.
2026-05-28	depmap	metadata_query	https://depmap.org/portal/api/context_explorer/context_info	DepMap current portal; 26Q1 label observed	N/A	Queried STOMACH context model, child subtype, and modality counts.
2026-05-28	pdc_cptac_gastric	metadata_query	https://pdc.cancer.gov/graphql	PDC GraphQL live	N/A	Queried gastric/STAD proteomics study IDs and case/aliquot counts.
2026-05-28	xena_toil_tcga_gtex	downloaded_raw	https://toil.xenahubs.net/download/TcgaTargetGTEX_phenotype.txt.gz	Toil recompute; phenotype Last-Modified Fri, 09 Apr 2021 20:01:15 GMT	ba4d4461cff0fe5e91cc3e58f793aa47ff3c5d6fbf77d65ccff5a07231aaf2db	data/raw/xena_toil/TcgaTargetGTEX_phenotype.txt.gz; Phenotype table used to select TCGA-STAD tumor, TCGA adjacent normal, and GTEx stomach normal samples.
2026-05-28	xena_toil_tcga_gtex	downloaded_raw	https://toil.xenahubs.net/download/TcgaTargetGtex_rsem_gene_tpm.gz	Toil recompute; matrix Last-Modified Fri, 09 Apr 2021 20:01:53 GMT	a8c36cb16ef82eccb0b6e1e62a2af3ab9d54c1f56735bc59dfac4cbbe2391d4d	data/raw/xena_toil/TcgaTargetGtex_rsem_gene_tpm.gz; Primary log2(TPM+0.001) matrix for TCGA-STAD vs GTEx stomach analysis.
2026-05-28	hpa_downloads	downloaded_raw	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	HPA 25.1; Ensembl 109	de63f1720cbf7fe86da28a3e8463cd0e5a97f7c3add6c5a6ba500ff1518eeaea	data/raw/hpa/normal_ihc_data.tsv.zip; Normal tissue IHC evidence; stomach rows drive normal protein evidence.
2026-05-28	hpa_downloads	downloaded_raw	https://www.proteinatlas.org/download/tsv/cancer_data.tsv.zip	HPA 25.1; Ensembl 109	6e771693dc1019a3536d8834175ee97dcfde4f835d5cb3bed7c5a48803668135	data/raw/hpa/cancer_data.tsv.zip; Cancer pathology IHC evidence; stomach cancer rows drive tumor protein evidence.
2026-05-28	hpa_downloads	downloaded_raw	https://www.proteinatlas.org/download/tsv/subcellular_location.tsv.zip	HPA 25.1; Ensembl 109	a9466882bd3328416bcde77c32a6bcb2a17d70183af90e98d032f6f5f781d504	data/raw/hpa/subcellular_location.tsv.zip; Subcellular localization evidence used to audit surface/plasma membrane support.
2026-05-28	hpa_downloads	downloaded_raw	https://www.proteinatlas.org/download/tsv/rna_tissue_consensus.tsv.zip	HPA 25.1; Ensembl 109	b001903da23f802c8dfbd1b6b3a8c20b831fedd4932f4bb721b06622d83ae60b	data/raw/hpa/rna_tissue_consensus.tsv.zip; HPA consensus RNA tissue expression, including stomach.
2026-05-28	hpa_downloads	downloaded_raw	https://www.proteinatlas.org/download/tsv/rna_tissue_gtex.tsv.zip	HPA 25.1; Ensembl 109	8b946d52357a762a79c0395b37ed30d7c56dbba3beba0c4451e1e9d3b52659f7	data/raw/hpa/rna_tissue_gtex.tsv.zip; HPA GTEx-derived RNA tissue expression, including stomach.
